# Minitial =  1.25 msun, Z = 0.0016, Mfinal = 0.646 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
  ag107    107  -2.9226621E-14  4.5438483E-11  4.5467709E-11  7.5229281E-11  7.5285500E-11 -3.2442054E-04
  ag108    108   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  ag109    109   8.6186717E-12  4.7407567E-11  3.8788896E-11  7.8489354E-11  6.4226707E-11  8.7095104E-02
  cd108    108   9.7461618E-15  9.7461618E-15  0.0000000E+00  1.6136030E-14  0.0000000E+00  0.0000000E+00
  cd109    109   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  cd110    110   3.0412100E-11  4.3050435E-11  1.2638334E-11  7.1275555E-11  2.0926573E-11  5.3224254E-01
  cd111    111   1.0007113E-11  4.2710436E-11  3.2703323E-11  7.0712644E-11  5.4150205E-11  1.1589696E-01
  cd112    112   3.8871708E-11  8.8776188E-11  4.9904480E-11  1.4698046E-10  8.2631908E-11  2.5011182E-01
  cd113    113   1.1393428E-11  4.1235324E-11  2.9841896E-11  6.8270410E-11  4.9412256E-11  1.4039785E-01
  cd114    114   5.7074564E-11  1.0406882E-10  4.6994252E-11  1.7229937E-10  7.7813152E-11  3.4523070E-01
  in115    115   1.0897777E-11  3.7689424E-11  2.6791647E-11  6.2399710E-11  4.4361650E-11  1.4817488E-01
  sn116    116   8.1482404E-11  1.1974270E-10  3.8260298E-11  1.9824951E-10  6.3351456E-11  4.9545550E-01
  sn117    117   2.3502540E-11  5.8808867E-11  3.5306327E-11  9.7365678E-11  5.8460264E-11  2.2154512E-01
  sn118    118   1.1523777E-10  1.9522288E-10  7.9985109E-11  3.2321670E-10  1.3243945E-10  3.8747644E-01
  sn119    119   3.3272350E-11  5.7718479E-11  2.4446127E-11  9.5560400E-11  4.0477934E-11  3.7305963E-01
  sn120    120   1.8841054E-10  2.8871128E-10  1.0030074E-10  4.7799881E-10  1.6607810E-10  4.5911446E-01
  sb121    121   1.3379962E-11  3.9219156E-11  2.5839194E-11  6.4932379E-11  4.2784571E-11  1.8117413E-01
  te122    122   2.3473404E-11  3.3946963E-11  1.0473560E-11  5.6203583E-11  1.7342135E-11  5.1066148E-01
  te123    123   8.6428156E-12  1.2374193E-11  3.7313772E-12  2.0487076E-11  6.1784198E-12  5.2060258E-01
  te124    124   4.6152353E-11  6.6001184E-11  1.9848829E-11  1.0927349E-10  3.2865721E-11  5.2177167E-01
  te125    125   1.5422580E-11  7.6633824E-11  6.1211244E-11  1.2687720E-10  1.0135367E-10  9.7544111E-02
  te126    126   8.9142957E-11  2.3298852E-10  1.4384556E-10  3.8574260E-10  2.3817967E-10  2.0939292E-01
   i127    127   1.1150830E-11  1.9047872E-10  1.7932789E-10  3.1536213E-10  2.9693137E-10  2.6153440E-02
  xe128    128   2.8669928E-11  3.9079538E-11  1.0409611E-11  6.4701224E-11  1.7236249E-11  5.7446980E-01
  xe129    129   1.0276835E-11  2.7511746E-10  2.6484062E-10  4.5549250E-10  4.3852350E-10  1.6488383E-02
  xe130    130   5.9616770E-11  7.6314892E-11  1.6698126E-11  1.2634917E-10  2.7648783E-11  6.5989637E-01
  xe131    131   2.2253907E-11  2.3223201E-10  2.0997810E-10  3.8449011E-10  3.4768205E-10  4.3702908E-02
  xe132    132   1.2149595E-10  3.3513384E-10  2.1363789E-10  5.5485738E-10  3.5374192E-10  1.9549483E-01
  xe133    133   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  xe134    134   3.4220335E-12  1.0096998E-10  9.7547949E-11  1.6716885E-10  1.6152003E-10  1.4928931E-02
  cs133    133   1.6080082E-11  8.8812749E-11  7.2732667E-11  1.4704098E-10  1.2043085E-10  8.6700641E-02
  cs134    134   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  cs135    135   3.5982158E-11  3.5982158E-11  0.0000000E+00  5.9573110E-11  0.0000000E+00  0.0000000E+00
  cs136    136   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  cs137    137   1.0604288E-17  1.0604288E-17  0.0000000E+00  1.7556768E-17  0.0000000E+00  0.0000000E+00
  ba134    134   1.8901294E-11  3.4297083E-11  1.5395789E-11  5.6783252E-11  2.5492370E-11  3.4781003E-01
  ba135    135   6.3842404E-12  7.7535416E-11  7.1151175E-11  1.2836990E-10  1.1781222E-10  3.7272878E-02
  ba136    136   1.2849759E-10  1.7238852E-10  4.3890929E-11  2.8541147E-10  7.2674665E-11  5.9408844E-01
