# Minitial =  6.50 msun, Z = 0.0016, Mfinal = 1.046 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
   kr*5     85   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   kr86     86   2.3642986E-07  2.4235342E-07  5.9235616E-09  4.4435904E-08  1.0861602E-09  1.6118401E+00
   rb85     85   3.1871711E-08  3.5685623E-08  3.8139119E-09  6.5430186E-09  6.9932904E-10  9.7109658E-01
   rb86     86  -1.3755043E-24 -1.3755043E-24  0.0000000E+00 -2.5220100E-25  0.0000000E+00  0.0000000E+00
   rb87     87   5.8811516E-08  6.0061581E-08  1.2500661E-09  1.1012391E-08  2.2921544E-10  1.6816378E+00
   sr86     86   1.3877435E-08  1.4935599E-08  1.0581642E-09  2.7384670E-09  1.9402781E-10  1.1496435E+00
   sr87     87   5.8726100E-09  6.6043340E-09  7.3172401E-10  1.2109157E-09  1.3417087E-10  9.5545566E-01
   sr88     88   1.1379893E-07  1.2579679E-07  1.1997852E-08  2.3065050E-08  2.1999580E-09  1.0205400E+00
   sr89     89  -5.6733159E-19 -5.6733159E-19  0.0000000E+00 -1.0402119E-19  0.0000000E+00  0.0000000E+00
   sr90     90   4.7014771E-11  4.7014771E-11  0.0000000E+00  8.6202365E-12  0.0000000E+00  0.0000000E+00
    y89     89   2.9052394E-08  3.2494071E-08  3.4416769E-09  5.9578422E-09  6.3107508E-10  9.7500795E-01
    y90     90   1.1889673E-14  1.1889673E-14  0.0000000E+00  2.1799913E-15  0.0000000E+00  0.0000000E+00
    y91     91  -5.4944552E-19 -5.4944552E-19  0.0000000E+00 -1.0074175E-19  0.0000000E+00  0.0000000E+00
   zr90     90   2.0572797E-08  2.4253072E-08  3.6802752E-09  4.4468411E-09  6.7482503E-10  8.1886041E-01
   zr91     91   5.9572858E-09  6.6247789E-09  6.6749328E-10  1.2146643E-09  1.2239335E-10  9.9669844E-01
   zr92     92   1.1695929E-08  1.3114478E-08  1.4185495E-09  2.4045614E-09  2.6010902E-10  9.6588051E-01
   zr93     93   3.5879488E-09  3.5879488E-09  0.0000000E+00  6.5785638E-10  0.0000000E+00  0.0000000E+00
   zr94     94   1.1752149E-08  1.2910387E-08  1.1582386E-09  2.3671411E-09  2.1237773E-10  1.0471152E+00
   zr95     95  -1.1409816E-18 -1.1409816E-18  0.0000000E+00 -2.0920088E-19  0.0000000E+00  0.0000000E+00
   zr96     96   1.5527728E-08  1.5949382E-08  4.2165305E-10  2.9243459E-09  7.7315425E-11  1.5777626E+00
   nb93     93   6.9484418E-11  6.8195549E-10  6.1247107E-10  1.2503767E-10  1.1230433E-10  4.6644423E-02
   nb94     94   1.3412930E-15  1.3412930E-15  0.0000000E+00  2.4592831E-16  0.0000000E+00  0.0000000E+00
   nb95     95  -1.3712986E-18 -1.3712986E-18  0.0000000E+00 -2.5142987E-19  0.0000000E+00  0.0000000E+00
   mo94     94   4.2274101E-12  2.3480876E-10  2.3058135E-10  4.3052579E-11  4.2280013E-11  7.8640739E-03
   mo95     95   1.6796404E-09  2.0805491E-09  4.0090864E-10  3.8147213E-10  7.3511669E-11  7.1510655E-01
   mo96     96   2.2407878E-09  2.5065749E-09  2.6578717E-10  4.5958470E-10  4.8735443E-11  9.7452068E-01
   mo97     97   1.0998247E-09  1.3115776E-09  2.1175292E-10  2.4047994E-10  3.8827584E-11  7.9193848E-01
   mo98     98   3.0085929E-09  3.4356256E-09  4.2703274E-10  6.2992767E-10  7.8301865E-11  9.0551859E-01
   tc99     99   3.1122302E-10  3.1122302E-10  0.0000000E+00  5.7063260E-11  0.0000000E+00  0.0000000E+00
   ru99     99   5.8317295E-11  8.6592136E-11  2.8274837E-11  1.5876812E-11  5.1845494E-12  4.8605230E-01
  ru100    100   1.2725782E-09  1.4136297E-09  1.4105146E-10  2.5919136E-10  2.5863572E-11  1.0009320E+00
  ru101    101   2.4336050E-10  6.6613581E-10  4.2277531E-10  1.2213711E-10  7.7521205E-11  1.9742712E-01
