# Minitial =  2.50 msun, Z = 0.0016, Mfinal = 0.680 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
   rb86     86   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   rb87     87   3.7958592E-09  4.2130024E-09  4.1714329E-10  2.3148365E-09  2.2921544E-10  1.0042765E+00
   sr86     86   2.2570974E-09  2.6102036E-09  3.5310621E-10  1.4341779E-09  1.9402781E-10  8.6873907E-01
   sr87     87   1.3417100E-09  1.5858841E-09  2.4417410E-10  8.7136492E-10  1.3417085E-10  8.1254190E-01
   sr88     88   4.7966907E-08  5.1970552E-08  4.0036467E-09  2.8555249E-08  2.1999580E-09  1.1132716E+00
   sr89     89   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   sr90     90   7.8747908E-13  7.8747908E-13  0.0000000E+00  4.3268083E-13  0.0000000E+00  0.0000000E+00
    y89     89   1.5452693E-08  1.6601170E-08  1.1484773E-09  9.1215222E-09  6.3107508E-10  1.1599863E+00
    y90     90   1.9914739E-16  1.9914739E-16  0.0000000E+00  1.0942164E-16  0.0000000E+00  0.0000000E+00
    y91     91   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zr90     90   1.5759882E-08  1.6987979E-08  1.2280967E-09  9.3340544E-09  6.7482503E-10  1.1408792E+00
   zr91     91   5.1311968E-09  5.3539373E-09  2.2274051E-10  2.9417240E-09  1.2239335E-10  1.3808441E+00
   zr92     92   1.0115619E-08  1.0588984E-08  4.7336574E-10  5.8181233E-09  2.6010902E-10  1.3496275E+00
   zr93     93   2.6984395E-09  2.6984395E-09  0.0000000E+00  1.4826591E-09  0.0000000E+00  0.0000000E+00
   zr94     94   1.1339744E-08  1.1726245E-08  3.8650075E-10  6.4429919E-09  2.1237773E-10  1.4819787E+00
   zr95     95   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zr96     96   4.9769588E-09  5.1176632E-09  1.4070435E-10  2.8119029E-09  7.7315425E-11  1.5607342E+00
   nb93     93   4.1955459E-10  6.2393435E-10  2.0437976E-10  3.4282108E-10  1.1230433E-10  4.8467106E-01
   nb94     94   7.0598259E-16  7.0598259E-16  0.0000000E+00  3.8790252E-16  0.0000000E+00  0.0000000E+00
   nb95     95   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mo94     94  -3.4467706E-12  7.3497541E-11  7.6944312E-11  4.0383266E-11  4.2280013E-11 -1.9933674E-02
   mo95     95   1.4570313E-09  1.5908133E-09  1.3378200E-10  8.7407326E-10  7.3511669E-11  1.0751915E+00
   mo96     96   2.3753799E-09  2.4640723E-09  8.8692373E-11  1.3538859E-09  4.8735443E-11  1.4437371E+00
   mo97     97   8.0693324E-10  8.7759455E-10  7.0661317E-11  4.8219484E-10  3.8827584E-11  1.0940821E+00
   mo98     98   2.1736477E-09  2.3161473E-09  1.4249954E-10  1.2726085E-09  7.8301865E-11  1.2109227E+00
   tc99     99   1.0440930E-10  1.0440930E-10  0.0000000E+00  5.7367749E-11  0.0000000E+00  0.0000000E+00
   ru99     99   1.6323545E-10  1.7267068E-10  9.4352278E-12  9.4874004E-11  5.1845494E-12  1.2624363E+00
  ru100    100   9.7970665E-10  1.0267751E-09  4.7068453E-11  5.6416216E-10  2.5863572E-11  1.3387154E+00
  ru101    101   2.0363258E-10  3.4471143E-10  1.4107884E-10  1.8940188E-10  7.7521205E-11  3.8796377E-01
  ru102    102   1.4106094E-09  1.6253374E-09  2.1472803E-10  8.9304258E-10  1.1799059E-10  8.7902480E-01
  rh103    103   2.3317459E-10  3.8962181E-10  1.5644720E-10  2.1407792E-10  8.5965943E-11  3.9624548E-01
  pd104    104   8.1617524E-10  8.4955071E-10  3.3375469E-11  4.6678611E-10  1.8339436E-11  1.4057319E+00
  pd105    105   2.0203153E-10  3.4819317E-10  1.4616164E-10  1.9131494E-10  8.0314137E-11  3.7695688E-01
  pd106    106   9.9757869E-10  1.1358761E-09  1.3829743E-10  6.2410777E-10  7.5992844E-11  9.1448689E-01
  pd107    107   1.9229413E-10  1.9229413E-10  0.0000000E+00  1.0565612E-10  0.0000000E+00  0.0000000E+00
  pd108    108   1.3508785E-09  1.4748597E-09  1.2398116E-10  8.1036250E-10  6.8126227E-11  1.0753649E+00
  ag107    107   1.2187473E-12  1.3822890E-10  1.3701015E-10  7.5949948E-11  7.5285500E-11  3.8161201E-03
  ag108    108   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  ag109    109   3.3798861E-10  4.5487314E-10  1.1688453E-10  2.4993030E-10  6.4226707E-11  5.9010327E-01
  cd108    108   4.7958626E-14  4.7958626E-14  0.0000000E+00  2.6350895E-14  0.0000000E+00  0.0000000E+00
  cd109    109   6.2192731E-38  6.2192731E-38  0.0000000E+00  3.4171832E-38  0.0000000E+00  0.0000000E+00
  cd110    110   1.2324459E-09  1.2705297E-09  3.8083731E-11  6.9809325E-10  2.0926573E-11  1.5232153E+00
  cd111    111   4.0864340E-10  5.0718996E-10  9.8546567E-11  2.7867580E-10  5.4150205E-11  7.1149915E-01
  cd112    112   1.6473909E-09  1.7977706E-09  1.5037968E-10  9.8778608E-10  8.2631908E-11  1.0775151E+00
  cd113    113   4.8717352E-10  5.7709765E-10  8.9924096E-11  3.1708663E-10  4.9412256E-11  8.0734324E-01
  cd114    114   2.5513736E-09  2.6929836E-09  1.4161015E-10  1.4796614E-09  7.7813152E-11  1.2791094E+00
  in115    115   4.9034343E-10  5.7107608E-10  8.0732622E-11  3.1377809E-10  4.4361650E-11  8.4961492E-01
  sn116    116   3.8002330E-09  3.9155248E-09  1.1529169E-10  2.1513873E-09  6.3351456E-11  1.5309620E+00
  sn117    117   1.1060647E-09  1.2124550E-09  1.0639033E-10  6.6618411E-10  5.8460264E-11  1.0567335E+00
  sn118    118   5.7371654E-09  5.9781886E-09  2.4102317E-10  3.2847192E-09  1.3243945E-10  1.3944809E+00
  sn119    119   1.6641946E-09  1.7378593E-09  7.3664748E-11  9.5486774E-10  4.0477934E-11  1.3727249E+00
  sn120    120   9.5997512E-09  9.9019921E-09  3.0224129E-10  5.4406550E-09  1.6607810E-10  1.5153388E+00
  sb121    121   6.8176159E-10  7.5962414E-10  7.7862543E-11  4.1737591E-10  4.2784571E-11  9.8924017E-01
  te122    122   1.1922296E-09  1.2237902E-09  3.1560504E-11  6.7241224E-10  1.7342135E-11  1.5885330E+00
  te123    123   4.3775150E-10  4.4899545E-10  1.1243948E-11  2.4670080E-10  6.1784198E-12  1.6012931E+00
  te124    124   2.2949340E-09  2.3547455E-09  5.9811482E-11  1.2938163E-09  3.2865721E-11  1.5951295E+00
  te125    125   7.6289253E-10  9.4734343E-10  1.8445093E-10  5.2051841E-10  1.0135367E-10  7.1059662E-01
