# Minitial =  3.50 msun, Z = 0.0016, Mfinal = 0.844 msun, with c13 pocket
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
   zr90     90   1.0420025E-08  1.2212242E-08  1.7922167E-09  4.5979824E-09  6.7482503E-10  8.3337611E-01
   zr91     91   3.1387000E-09  3.4637551E-09  3.2505520E-10  1.3041246E-09  1.2239335E-10  1.0275613E+00
   zr92     92   6.5789942E-09  7.2697981E-09  6.9080386E-10  2.7371225E-09  2.6010902E-10  1.0221388E+00
   zr93     93   2.0109769E-09  2.0109769E-09  0.0000000E+00  7.5714490E-10  0.0000000E+00  0.0000000E+00
   zr94     94   7.8088247E-09  8.3728624E-09  5.6403787E-10  3.1524330E-09  2.1237773E-10  1.1715369E+00
   zr95     95   1.6031254E-28  1.6031254E-28  0.0000000E+00  6.0358632E-29  0.0000000E+00  0.0000000E+00
   zr96     96   1.0676943E-08  1.0882279E-08  2.0533619E-10  4.0972434E-09  7.7315425E-11  1.7242256E+00
   nb93     93   8.7603924E-11  3.8586448E-10  2.9826056E-10  1.4528029E-10  1.1230433E-10  1.1181020E-01
   nb94     94   1.1306055E-16  1.1306055E-16  0.0000000E+00  4.2567978E-17  0.0000000E+00  0.0000000E+00
   nb95     95   1.9319570E-28  1.9319570E-28  0.0000000E+00  7.2739341E-29  0.0000000E+00  0.0000000E+00
   mo94     94  -2.2257682E-12  1.1006251E-10  1.1228828E-10  4.1439199E-11  4.2280013E-11 -8.7237582E-03
   mo95     95   9.5141461E-10  1.1466487E-09  1.9523407E-10  4.3172010E-10  7.3511669E-11  7.6884598E-01
   mo96     96   1.7037994E-09  1.8332322E-09  1.2943277E-10  6.9022293E-10  4.8735443E-11  1.1511445E+00
   mo97     97   8.5274637E-10  9.5586561E-10  1.0311923E-10  3.5988915E-10  3.8827584E-11  9.6702838E-01
   mo98     98   2.5138611E-09  2.7218172E-09  2.0795599E-10  1.0247805E-09  7.8301865E-11  1.1168587E+00
   tc99     99   2.3124713E-10  2.3124713E-10  0.0000000E+00  8.7065931E-11  0.0000000E+00  0.0000000E+00
   ru99     99   7.9798723E-11  9.3567973E-11  1.3769252E-11  3.5228903E-11  5.1845494E-12  8.3218807E-01
  ru100    100   1.0925166E-09  1.1612057E-09  6.8689103E-11  4.3720091E-10  2.5863572E-11  1.2279925E+00
  ru101    101   2.2622043E-10  4.3210313E-10  2.0588270E-10  1.6268942E-10  7.7521205E-11  3.2193878E-01
  ru102    102   1.3616221E-09  1.6749844E-09  3.1336223E-10  6.3064165E-10  1.1799059E-10  7.2793531E-01
  rh103    103   2.1958280E-10  4.4789322E-10  2.2831043E-10  1.6863448E-10  8.5965943E-11  2.9261994E-01
  pd104    104   7.0954592E-10  7.5825224E-10  4.8706317E-11  2.8548652E-10  1.8339436E-11  1.1921997E+00
