# Minitial =  5.00 msun, Z = 0.0016, Mfinal = 0.918 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
   ge74     74   1.3856587E-07  1.6578157E-07  2.7215703E-08  4.0612832E-08  6.6676575E-09  7.8469002E-01
   as75     75   1.2688300E-08  1.7545061E-08  4.8567603E-09  4.2981534E-09  1.1898724E-09  5.5778152E-01
   se76     76   4.4698243E-08  4.6241894E-08  1.5436514E-09  1.1328245E-08  3.7818382E-10  1.4764597E+00
   se77     77   1.7670464E-08  2.0799426E-08  3.1289624E-09  5.0954010E-09  7.6657397E-10  8.2262427E-01
   se78     78   1.1548224E-07  1.2416331E-07  8.6810612E-09  3.0417276E-08  2.1267994E-09  1.1553938E+00
   se79     79   1.8547052E-08  1.8547052E-08  0.0000000E+00  4.5436188E-09  0.0000000E+00  0.0000000E+00
   se80     80   1.4666406E-07  1.7056465E-07  2.3900583E-08  4.1784581E-08  5.8554761E-09  8.5345381E-01
   br79     79   7.6404962E-09  7.9189562E-09  2.7845959E-10  1.9399697E-09  6.8220651E-11  1.4538791E+00
   br80     80   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   br81     81   1.9435834E-08  2.7135160E-08  7.6993247E-09  6.6475163E-09  1.8862807E-09  5.4705310E-01
   kr80     80  -1.7882168E-11  3.3842723E-10  3.5630940E-10  8.2907216E-11  8.7293311E-11 -2.2388652E-02
   kr81     81   6.9225787E-14  6.9225787E-14  0.0000000E+00  1.6958792E-14  0.0000000E+00  0.0000000E+00
   kr82     82   6.7021155E-08  6.9241480E-08  2.2203233E-09  1.6962638E-08  5.4396371E-10  1.4939234E+00
   kr83     83   2.4073389E-08  2.8204109E-08  4.1307202E-09  6.9093855E-09  1.0119976E-09  8.3425999E-01
   kr84     84   1.5770760E-07  1.7815091E-07  2.0443309E-08  4.3643048E-08  5.0084683E-09  9.4021010E-01
   kr-5     85  -4.9090880E-13 -4.9090880E-13  0.0000000E+00 -1.2026183E-13  0.0000000E+00  0.0000000E+00
   kr*5     85   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   kr86     86   4.4464034E-07  4.4907378E-07  4.4334327E-09  1.1001318E-07  1.0861602E-09  2.0055509E+00
   rb85     85   5.6936983E-08  5.9791468E-08  2.8544855E-09  1.4647592E-08  6.9932904E-10  1.3210846E+00
   rb86     86   4.6457732E-26  4.6457732E-26  0.0000000E+00  1.1381120E-26  0.0000000E+00  0.0000000E+00
   rb87     87   1.0625344E-07  1.0718904E-07  9.3559993E-10  2.6258952E-08  2.2921544E-10  2.0590334E+00
   sr86     86   2.7009641E-08  2.7801613E-08  7.9197282E-10  6.8107826E-09  1.9402781E-10  1.5453330E+00
   sr87     87   1.1966357E-08  1.2514008E-08  5.4765176E-10  3.0656564E-09  1.3417085E-10  1.3588653E+00
   sr88     88   2.2077970E-07  2.2975938E-07  8.9796757E-09  5.6285984E-08  2.1999580E-09  1.4079859E+00
   sr89     89   2.3538019E-22  2.3538019E-22  0.0000000E+00  5.7662962E-23  0.0000000E+00  0.0000000E+00
   sr90     90   2.4441282E-12  2.4441282E-12  0.0000000E+00  5.9875753E-13  0.0000000E+00  0.0000000E+00
    y89     89   5.6705144E-08  5.9281035E-08  2.5758899E-09  1.4522548E-08  6.3107508E-10  1.3619617E+00
