# Minitial =  3.50 msun, Z = 0.0016, Mfinal = 0.844 msun, no c13 pocket
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
  pd107    107   2.3148217E-12  2.3148217E-12  0.0000000E+00  8.7154426E-13  0.0000000E+00  0.0000000E+00
  pd108    108   1.0542608E-11  1.9147388E-10  1.8093127E-10  7.2091062E-11  6.8126227E-11  2.4567073E-02
  ag107    107  -3.9649672E-12  1.9598009E-10  1.9994506E-10  7.3787684E-11  7.5285500E-11 -8.7274564E-03
  ag108    108   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  ag109    109   5.0084936E-14  1.7062493E-10  1.7057485E-10  6.4241314E-11  6.4226707E-11  9.8769626E-05
  cd108    108   5.8270588E-14  5.8270588E-14  0.0000000E+00  2.1939226E-14  0.0000000E+00  0.0000000E+00
  cd109    109   2.4511028E-26  2.4511028E-26  0.0000000E+00  9.2285494E-27  0.0000000E+00  0.0000000E+00
  cd110    110   1.0450803E-11  6.6028100E-11  5.5577296E-11  2.4859975E-11  2.0926573E-11  7.4802570E-02
  cd111    111   8.6329555E-13  1.4467673E-10  1.4381343E-10  5.4471656E-11  5.4150205E-11  2.5704652E-03
  cd112    112   9.4217134E-12  2.2887753E-10  2.1945581E-10  8.6173763E-11  8.2631908E-11  1.8227264E-02
  cd113    113   1.3579970E-12  1.3258826E-10  1.3123026E-10  4.9920276E-11  4.9412256E-11  4.4423253E-03
  cd114    114   1.4615545E-11  2.2127360E-10  2.0665805E-10  8.3310837E-11  7.7813152E-11  2.9648481E-02
  in115    115   1.1789875E-12  1.1899573E-10  1.1781674E-10  4.4802606E-11  4.4361650E-11  4.2955857E-03
  sn116    116   2.0935711E-11  1.8918604E-10  1.6825033E-10  7.1229682E-11  6.3351456E-11  5.0904408E-02
  sn117    117   3.7911618E-12  1.5905134E-10  1.5526018E-10  5.9883785E-11  5.8460264E-11  1.0448493E-02
  sn118    118   2.5049990E-11  3.7678591E-10  3.5173592E-10  1.4186216E-10  1.3243945E-10  2.9849207E-02
  sn119    119   6.8332701E-12  1.1433554E-10  1.0750227E-10  4.3048017E-11  4.0477934E-11  2.6734836E-02
  sn120    120   3.7715914E-11  4.7879017E-10  4.4107426E-10  1.8026737E-10  1.6607810E-10  3.5604790E-02
  sb121    121   1.0164786E-12  1.1464477E-10  1.1362829E-10  4.3164444E-11  4.2784571E-11  3.8389568E-03
  te122    122   4.7638525E-12  5.0821514E-11  4.6057661E-11  1.9134605E-11  1.7342135E-11  4.2716976E-02
  te123    123   1.7391019E-12  1.8147900E-11  1.6408798E-11  6.8327934E-12  6.1784198E-12  4.3720886E-02
  te124    124   8.8494073E-12  9.6134982E-11  8.7285575E-11  3.6195397E-11  3.2865721E-11  4.1910198E-02
  te125    125  -1.8355595E-12  2.6734195E-10  2.6917751E-10  1.0065585E-10  1.0135367E-10 -3.0004552E-03
  te126    126   7.2489237E-12  6.3981226E-10  6.3256334E-10  2.4089317E-10  2.3817967E-10  4.9197692E-03
   i127    127  -1.3078927E-11  7.7551859E-10  7.8859752E-10  2.9198741E-10  2.9693137E-10 -7.2919666E-03
  xe128    128   5.4597472E-12  5.1236192E-11  4.5776445E-11  1.9290734E-11  1.7236249E-11  4.8905987E-02
  xe129    129  -2.0665247E-11  1.1439760E-09  1.1646413E-09  4.3071385E-10  4.3852350E-10 -7.8040380E-03
  xe130    130   1.1713158E-11  8.5143462E-11  7.3430304E-11  3.2057024E-11  2.7648783E-11  6.4247184E-02
