Isotope      A            Z            YIELD     
Gd54         154          64           3.98350E-11  
Gd55         155          64           5.29710E-11  
Gd56         156          64           1.42230E-10  
Gd57         157          64           7.12520E-11  
Gd58         158          64           2.49220E-10  
Gd59         159          64           0.00000E+00  
Gd60         160          64           8.07590E-11  
Tb59         159          65           6.77120E-11  
Tb60         160          65           0.00000E+00  
Tb61         161          65           0.00000E+00  
Dy60         160          66           7.92250E-11  
Dy61         161          66           5.94130E-11  
Dy62         162          66           2.01060E-10  
Dy63         163          66           7.58300E-11  
Dy64         164          66           2.87410E-10  
Dy65         165          66           0.00000E+00  
Dy66         166          66           0.00000E+00  
Ho63         163          67           1.15050E-12  
Ho64         164          67           0.00000E+00  
Ho65         165          67           9.41960E-11  
Ho66         166          67           0.00000E+00  
Er64         164          68           3.52720E-11  
Er65         165          68           0.00000E+00  
Er66         166          68           1.33020E-10  
Er67         167          68           6.86540E-11  
Er68         168          68           2.32240E-10  
Er69         169          68           0.00000E+00  
Er70         170          68           1.28330E-10  
Er71         171          68           0.00000E+00  
Er72         172          68           0.00000E+00  
Tm69         169          69           5.48250E-11  
Tm70         170          69           0.00000E+00  
Tm71         171          69           0.00000E+00  
Tm72         172          69           0.00000E+00  
Tm73         173          69           0.00000E+00  
Yb70         170          70           6.32090E-11  
Yb71         171          70           1.08710E-10  
Yb72         172          70           2.45070E-10  
Yb73         173          70           1.20780E-10  
Yb74         174          70           5.31740E-10  
Yb75         175          70           0.00000E+00  
Yb76         176          70           1.47320E-10  
Yb77         177          70           0.00000E+00  
Lu75         175          71           8.01030E-11  
Lu76         176          71           1.25060E-11  
Lu77         177          71           0.00000E+00  
Hf76         176          72           9.25940E-11  
Hf77         177          72           7.17210E-11  
Hf78         178          72           2.92650E-10  
Hf79         179          72           1.04490E-10  
Hf80         180          72           5.44840E-10  
Hf81         181          72           0.00000E+00  
Hf82         182          72           5.46610E-11  
Hf83         183          72           0.00000E+00  
Hf84         184          72           0.00000E+00  
Ta79         179          73           0.00000E+00  
Ta80         180          73           0.00000E+00  
Ta81         181          73           1.19520E-10  
Ta82         182          73           0.00000E+00  
Ta83         183          73           0.00000E+00  
Ta84         184          73           0.00000E+00  
W180         180          74           0.00000E+00  
W181         181          74           0.00000E+00  
W182         182          74           1.98670E-10  
W183         183          74           1.45920E-10  
W184         184          74           3.61480E-10  
W185         185          74           0.00000E+00  
W186         186          74           1.90500E-10  
W187         187          74           0.00000E+00  
W188         188          74           0.00000E+00  
Re85         185          75           7.78830E-11  
Re86         186          75           0.00000E+00  
Re87         187          75           5.59630E-11  
Re88         188          75           0.00000E+00  
Re89         189          75           0.00000E+00  
Os86         186          76           1.12520E-10  
Os87         187          76           3.36840E-11  
Os88         188          76           3.18860E-10  
Os89         189          76           9.10510E-11  
Os90         190          76           3.75830E-10  
Os91         191          76           0.00000E+00  
Os92         192          76           2.96490E-10  
Os93         193          76           0.00000E+00  
Os94         194          76           0.00000E+00  
Ir91         191          77           1.22910E-10  
Ir92         192          77           0.00000E+00  
Ir93         193          77           1.89610E-10  
Ir94         194          77           0.00000E+00  
Ir95         195          77           0.00000E+00  
Pt92         192          78           8.69480E-11  
Pt93         193          78           0.00000E+00  
Pt94         194          78           5.46400E-10  
Pt95         195          78           2.75790E-10  
Pt96         196          78           6.26540E-10  
Pt97         197          78           0.00000E+00  
Pt98         198          78           1.15530E-10  
Au97         197          79           2.07870E-10  
Au98         198          79           0.00000E+00  
Au99         199          79           0.00000E+00  
Hg98         198          80           4.53470E-10  
Hg99         199          80           2.43500E-10  
Hg00         200          80           7.39550E-10  
Hg01         201          80           3.18340E-10  
Hg02         202          80           1.18730E-09  
Hg03         203          80           0.00000E+00  
Hg04         204          80           1.08340E-10  
Tl03         203          81           5.53350E-10  
Tl04         204          81           0.00000E+00  
Tl05         205          81           8.68330E-10  
Pb04         204          82           6.07500E-10  
Pb05         205          82           3.83970E-11  
Pb06         206          82           8.67050E-09  
Pb07         207          82           1.00570E-08  
Pb08         208          82           2.38460E-07  
Pb09         209          82           0.00000E+00  
Pb10         210          82           0.00000E+00  
Bi09         209          83           5.48200E-09  
Bi10         210          83           0.00000E+00  
Po10         210          84           0.00000E+00  
