#test case: AGB models
#description                       mass             Z   remnantmass
[evmodels]
5
m1.25_pmz2e-3                      1.20      1.60e-03          0.65
m2.5_pmz2e-3                       2.50      1.60e-03          0.68
m3.5_pmz1e-3                       3.50      1.60e-03          0.84
m5.0_nopmz                         5.00      1.60e-03          0.92
m6.5_nopmz                         6.50      1.60e-03          1.05

#species      type m1.25_pmz2e-3  m2.5_pmz2e-3  m3.5_pmz1e-3    m5.0_nopmz    m6.5_nopmz
[yields]
y91       absolute  0.000000e+00  0.000000e+00  2.745381e-29  3.198841e-22 -5.494455e-19
zr90      absolute  7.785380e-10  1.698798e-08  1.221224e-08  4.334771e-08  2.425307e-08
zr91      absolute  1.786119e-10  5.353937e-09  3.463755e-09  1.233736e-08  6.624779e-09
zr92      absolute  3.437754e-10  1.058898e-08  7.269798e-09  2.373913e-08  1.311448e-08
zr93      absolute  5.094394e-11  2.698439e-09  2.010977e-09  6.658168e-09  3.587949e-09
zr94      absolute  3.563142e-10  1.172625e-08  8.372862e-09  2.362035e-08  1.291039e-08
zr95      absolute  0.000000e+00  0.000000e+00  1.603125e-28  6.611285e-22 -1.140982e-18
zr96      absolute  6.785303e-11  5.117663e-09  1.088228e-08  2.866013e-08  1.594938e-08
nb93      absolute  7.382039e-11  6.239343e-10  3.858645e-10  8.522226e-10  6.819555e-10
nb94      absolute  1.739803e-15  7.059826e-16  1.130606e-16  2.661559e-16  1.341293e-15
nb95      absolute  0.000000e+00  0.000000e+00  1.931957e-28  7.964029e-22 -1.371299e-18
mo94      absolute  2.550976e-11  7.349754e-11  1.100625e-10  1.654817e-10  2.348088e-10
mo95      absolute  6.987557e-11  1.590813e-09  1.146649e-09  3.302163e-09  2.080549e-09
mo96      absolute  7.761879e-11  2.464072e-09  1.833232e-09  4.727653e-09  2.506575e-09
mo97      absolute  3.943133e-11  8.775945e-10  9.558656e-10  2.321717e-09  1.311578e-09
mo98      absolute  1.060230e-10  2.316147e-09  2.721817e-09  6.436469e-09  3.435626e-09
tc99      absolute  3.542052e-12  1.044093e-10  2.312471e-10  5.112693e-10  3.112230e-10
ru99      absolute  7.112891e-12  1.726707e-10  9.356797e-11  2.630983e-10  8.659214e-11
ru100     absolute  4.489666e-11  1.026775e-09  1.161206e-09  2.741400e-09  1.413630e-09
ru101     absolute  5.299483e-11  3.447114e-10  4.321031e-10  8.488332e-10  6.661358e-10
ru102     absolute  1.124745e-10  1.625337e-09  1.674984e-09  3.723448e-09  2.205227e-09
rh103     absolute  5.871894e-11  3.896218e-10  4.478932e-10  8.573099e-10  7.017087e-10
pd104     absolute  3.406143e-11  8.495507e-10  7.582522e-10  1.741993e-09  9.121960e-10
pd105     absolute  5.417038e-11  3.481932e-10  3.856189e-10  7.162207e-10  6.121169e-10
pd106     absolute  7.275317e-11  1.135876e-09  9.863577e-10  2.119670e-09  1.295799e-09
pd107     absolute  5.211285e-12  1.922941e-10  1.518299e-10  3.463705e-10  1.723202e-10
pd108     absolute  7.579575e-11  1.474860e-09  1.138124e-09  2.439403e-09  1.423814e-09
ag107     absolute  4.543848e-11  1.382289e-10  1.975522e-10  2.937591e-10  3.922127e-10
ag108     absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ag109     absolute  4.740757e-11  4.548731e-10  4.027670e-10  7.696468e-10  5.910039e-10
cd108     absolute  9.746162e-15  4.795863e-14  3.384345e-15  2.343324e-12  1.008833e-11
cd109     absolute  0.000000e+00  6.219273e-38  1.689396e-28 -3.554445e-24 -1.866425e-23
