#test case: FRUITY database models from Straniero et al. 2014 
#modelname                         mass             Z   remnantmass      lifetime
[stellarmodels]
7
A:m1p5z3m4                         1.50      3.00e-04         0.647  1.850000e+09
B:m2p0z3m4                         2.00      3.00e-04         0.669  8.460000e+08
C:m2p5z3m4                         2.50      3.00e-04         0.725  4.920000e+08
D:m3p0z3m4                         3.00      3.00e-04         0.823  3.020000e+08
E:m4p0z3m4                         4.00      3.00e-04         0.887  1.480000e+08
F:m5p0z3m4                         5.00      3.00e-04         0.955  8.930000e+07
G:m6p0z3m4                         6.00      3.00e-04         1.059  6.060000e+07

#species      type             A             B             C             D             E             F             G
[yields]
br81      absolute  4.081600e-10  5.396700e-10  8.467400e-10  1.501500e-09  2.392100e-09  3.075300e-09  2.445800e-09
br82      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
br83      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
br84      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
kr80      absolute  6.568300e-11  8.824000e-11  1.272600e-10  1.947800e-10  2.950100e-10  3.931100e-10  3.814300e-10
kr81      absolute  1.621400e-12  1.253700e-12  4.208500e-12  1.605600e-11  2.952800e-11  4.148100e-11  2.511500e-11
kr82      absolute  7.884200e-10  8.888700e-10  1.401200e-09  2.884200e-09  4.658600e-09  6.033400e-09  4.244100e-09
kr83      absolute  4.555200e-10  5.810600e-10  8.537900e-10  1.495200e-09  2.359000e-09  3.073600e-09  2.558800e-09
kr84      absolute  2.484500e-09  3.372700e-09  4.827400e-09  9.010700e-09  1.414200e-08  1.862500e-08  1.468900e-08
kr85      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.488800e-13  2.363900e-13
kr86      absolute  1.054400e-09  1.708100e-09  3.468600e-09  9.567900e-09  1.680700e-08  2.391400e-08  1.505600e-08
kr87      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
kr88      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
rb85      absolute  4.964800e-10  7.512700e-10  1.150500e-09  2.487400e-09  4.042500e-09  5.414300e-09  3.751200e-09
